categ_id,name,default_code,lst_price
MM,Set Desmaquillante y Humectante para labios 2 Potes x 4g .c/uno. @Desmaquillante para Labios + Balsamos humecto tratante,1504,675
MM,"Barra Correctiva HDF con Núcleo Tratante Envase x 3,5g. @Claro",1510-01,290
MM,"Barra Correctiva HDF con Núcleo Tratante Envase x 3,5g. @Oscuro",1510-02,290
MM,"Labial Vitamina Envase x 3,5g. @Rosado",1520-01,195
MM,"Labial Vitamina Envase x 3,5g. @Anaranjado",1520-02,195
MM,"Labial Vitamina Envase x 3,5g. @Coral",1520-03,195
MM,Labial Líquido Mate Botella con Aplicador x 6g. @Nude Piel,1524-01,415
MM,Labial Líquido Mate Botella con Aplicador x 6g. @Rojo Intenso,1524-02,415
MM,Brillo Labial Laca Larga Duración Botella con Aplicador x 8g. @Gloss Ultraliviano,1540-02,375
MM,Gel Reforzador para Pestañas y Cejas Botella  con Aplicador x 3g. @Gel Reforzador para  Pestañas y cejas Cristal,1600-00,295
MM,Máscara para Pestañas  a Prueba de Agua Botella con aplicador x 12g. @Negro,1610-01,215
MM,Máscara para Pestañas Dúo - Efecto Pestañas Postizas A prueba de agua HD. Botella con Aplicador Dúo x 7g. @Negro,1640-01,550
MM,Máscara para pestañas Extra Flex Apto HD Botella con Aplicador x 8g. @Negro,1650-01,450
MM,Maquillaje Cremoso Correctivo Pote x 15g. @Marfil,1700P-01,320
MM,Maquillaje Cremoso Correctivo Pote x 15g. @Beige Rosado,1700P-02,320
MM,Maquillaje Cremoso Correctivo Pote x 15g. @Beige Anaranjado,1700P-03,320
MM,Maquillaje Cremoso Correctivo Pote x 15g. @Beige Dorado,1700P-04,320
MM,Maquillaje Cremoso Correctivo Pote x 15g. @Tostado Claro,1700P-05,320
MM,Maquillaje Cremoso Correctivo Pote x 15g. @Beige Oscuro,1700P-06,320
MM,Maquillaje Cremoso Correctivo Pote x 15g. @Terracota Tostado,1700P-07,320
MM,Maquillaje Cremoso Correctivo Pote x 15g. @Marrón Café,1700P-11,320
MM,Maquillaje Cremoso Correctivo Repuesto de 33mm x 4g. @Marfil,1701R-01,185
MM,Maquillaje Cremoso Correctivo Repuesto de 33mm x 4g. @Beige Rosado,1701R-02,185
MM,Maquillaje Cremoso Correctivo Repuesto de 33mm x 4g. @Beige Dorado,1701R-04,185
MM,Maquillaje Cremoso Correctivo Repuesto de 33mm x 4g. @Tostado Claro,1701R-05,185
MM,Maquillaje Cremoso Correctivo Repuesto de 33mm x 4g. @Beige Oscuro,1701R-06,185
MM,Maquillaje Cremoso Correctivo Repuesto de 33mm x 4g. @Marrón Café,1701R-11,185
MM,Maquillaje Compacto al Agua Petaca con Espejo x 10g. @Marfil,1710-00,455
MM,Maquillaje Compacto al Agua Petaca con Espejo x 10g. @Dorado,1710-02,455
MM,Maquillaje Compacto al Agua Repuesto de 59mm x 10g. @Marfil,1710R-00,385
MM,Maquillaje Líquido Frasco con Dosificador   x 30g. @Marfil,1800-00,386
MM,Maquillaje Líquido Frasco con Dosificador   x 30g. @Canela,1800-01,386
MM,Maquillaje Líquido Frasco con Dosificador   x 30g. @Natural,1800-02,386
MM,Maquillaje Líquido Frasco con Dosificador   x 30g. @Natural Intermedio,1800-03,386
MM,Maquillaje Líquido Frasco con Dosificador   x 30g. @Dorado Claro,1800-05,386
MM,Maquillaje Líquido Frasco con Dosificador   x 30g. @Dorado Intermedio,1800-06,386
MM,Maquillaje Líquido Frasco con Dosificador   x 30g. @Tostado (Hasta Agotar Stock),1800-08,386
MM,Base Maquillaje Alta Definición Botella con dosificador x 20g. @Natural,1801-00,965
MM,Base Maquillaje Alta Definición Botella con dosificador x 20g. @Dorado,1801-01,965
MM,Base Maquillaje Alta Definición Botella con dosificador x 20g. @Tostado,1801-02,965
MM,Base en gotas ULTRA MATE Botella con gotero x 30g. @ULTRA MATE,1803-00,693
MM,Base en gotas ULTRA MATE Botella con gotero x 30g. @BEIGE NEUTRO,1803-01,595
MM,Maquillaje Líquido Reflectante Frasco con dosificador x 30g. @Natural,1820-01,195
MM,Maquillaje Líquido Efecto Polvo - HD Botella con dosificador x 20g. @Natural,1860-01,965
MM,Maquillaje Líquido Efecto Polvo - HD Botella con dosificador x 20g. @Dorado,1860-02,965
MM,Maquillaje Líquido Efecto Polvo - HD Botella con dosificador x 20g. @Tostado,1860-03,965
MM,MILA BB - Base Nude Pomo x 25g. @Tostado,1862-03,450
MM,Súper CC Maquillaje Mate Botella con dosificador x 20g. @Claro,1864-01,705
MM,Súper CC Maquillaje Mate Botella con dosificador x 20g. @Oscuro,1864-02,705
MM,"Tonalizador Correctivo (Pack 4 Unidades) Pote x 2,5g  (Art. Individual 2000P) @Salmon",2000P/2001P-03,985
MM,"Tonalizador Correctivo (Pack 4 Unidades) Pote x 2,5g  (Art. Individual 2000P) @Anaranjado",2000P/2001P-04,985
MM,"Tonalizador Correctivo (Pack 4 Unidades) Pote x 2,5g  (Art. Individual 2000P) @Amarillo",2000P/2001P-06,985
MM,"Tonalizador Correctivo (Pack 4 Unidades) Pote x 2,5g  (Art. Individual 2000P) @Marron Africano",2000P/2001P-09,985
MM,"Tonalizador Correctivo (Pack 4 Unidades) Pote x 2,5g  (Art. Individual 2000P) @Beige Amarillento",2000P/2001P- 11,985
MM,"Tonalizador Correctivo (Pack 4 Unidades) Pote x 2,5g  (Art. Individual 2000P) @Beige Grisado",2000P/2001P- 12,985
MM,"Tonalizador Correctivo (Pack 4 Unidades) Pote x 2,5g  (Art. Individual 2000P) @Beige Verdoso",2000P/2001P- 13,985
MM,Tonalizador Correctivo Repuesto de 33mm x 4g. @Salmón,2001P-03,215
MM,Tonalizador Correctivo Repuesto de 33mm x 4g. @Anaranjado,2001P-04,215
MM,Tonalizador Correctivo Repuesto de 33mm x 4g. @Amarillo,2001P-06,215
MM,Tonalizador Correctivo Repuesto de 33mm x 4g. @Beige Amarillento,2001P-11,215
MM,Tonalizador Correctivo Repuesto de 33mm x 4g. @Beige Grisado,2001P-12,215
MM,Maquillaje Compacto Polvo APTO HD Cartuchera  Dúo x 10g. c/u. @claro / oscuro.,2005P-01,1134
MM,Maquillaje Compacto Polvo APTO HD Cartuchera  Dúo x 10g. c/u. @Satinado 01/satinado 02 Dúo claro / oscuro.,2005P-02,1134
MM,"MILA PALETTE PRO ""TRANSICIÓN"" Sombra Compacta Paleta con  4 unidades x 4g. c/u @NUEVO!!",2018-01,1134
MM,Set para Labios y Rostro Petaca cristal con 8 bocas. ,2029,390
MM,Set para Labios ULTRA HD Labial Mate Estuche Acrilico 8 unidades x 7g. c/u @8 Tonos Atemporales mate apto para Decoracion de Labios,2050P,1670
MM,Sombra en Polvo Diamante - Cristales de Luz - Pote x 1g. @Arena Nacar,2152P-00,545
MM,Sombra en Polvo Diamante - Cristales de Luz - Pote x 1g. @Rosa cuarzo,2152P-01,545
MM,Sombra en Polvo Diamante - Cristales de Luz - Pote x 1g. @Durazno tornasol NUEVO!!,2152P-02,545
MM,Sombra en Polvo Diamante - Cristales de Luz - Pote x 1g. @Cobrizo granate NUEVO!!,2152P-03,545
MM,Sombra en Polvo Diamante - Cristales de Luz- Pote x 1g. @Verde Calipso,2152E,420
MM,Sombra en Polvo Diamante - Cristales de Luz- Pote x 1g. @Negro NUEVO!!,2152E-01,420
MM,Sombra en Polvo Diamante - Cristales de Luz- Pote x 1g. @Tomate NUEVO!!,2152E-02,420
MM,Sombra en Polvo Diamante - Cristales de Luz- Pote x 1g. @Azul NUEVO!!,2152E-03,420
MM,Sombra en Polvo Diamante - Cristales de Luz- Pote x 1g. @Malva NUEVO!!,2152E-04,420
MM,Sombra en Polvo Diamante - Cristales de Luz- Pote x 1g. @Peltre NUEVO!,2152E-05,420
MM,Sombra en Polvo Diamante - Cristales de Luz- Pote x 1g. @Chocolate NUEVO!!,2152E-06,420
MM,Sombra en Polvo Diamante - Cristales de Luz- Pote x 1g. @Violeta NUEVO!!,2152E-07,420
MM,Sombra en Polvo Perla Cristal Diamante Polvera x 1 g. @Oro,2153P-01,545
MM,Sombra en Polvo Perla Cristal Diamante Polvera x 1 g. @Plata,2153P-02,545
MM,Sombra en Polvo Perla Cristal Diamante Polvera x 1 g. @Tornasol,2153P-03,545
MM,Sombra en Polvo Perla Cristal Diamante Polvera x 1 g. @Anaranjado Tornasolado Rosa,2153P-04,545
MM,Polvo Volátil Pro Mineral Polverax  18g. @Mineral Marfil,2301P-01,695
MM,Polvo Volátil Pro Mineral Polverax  18g. @Mineral Beige Rosado,2301P-02,695
MM,Polvo Volátil  Pro Universal HD (Pack 2 Unidades + 2 Polveritas vacias x 8g.) c/u (Art. Individual 2300P)  ,2320P-01,1550
MM,Polvo Volátil Iridiscente Efecto Tornasol Polvera x 4g. @Oro,2330P-01,290
MM,Polvo Volátil Iridiscente Efecto Tornasol Polvera x 4g. @Plata,2330P-02,290
MM,Polvo Volátil Iridiscente Efecto Tornasol Polvera x 4g. @Dulce de leche NUEVO!!,2330P-03,290
MM,Polvo Volátil Tonalizador Satinado Polvera con dosificardor x 18g. @Natural,2331P-01,695
MM,Polvo Volátil Tonalizador Satinado Polvera con dosificardor x 18g. @Tostado,2331P-02,695
MM,Brillo Labial (PACK 3 UNIDADES) Botella con dosificador x 10g. (Art. Individual 2540P)  @Laca Cristal,2541P-00,1050
MM,Brillo Labial (PACK 3 UNIDADES) Botella con dosificador x 10g. (Art. Individual 2540P)  @Laca Gloss Ultra Liviano,2541P-02,1050
MM,Máscara para Pestañas  a Prueba de Agua Botella con aplicador x 12g. @Negro,2610-01,172
MM,Máscara para Pestañas  a Prueba de Agua Botella con aplicador x 12g. @Azul,2610-02,172
MM,Máscara para Pestañas  a Prueba de Agua Botella con aplicador x 12g. @Marron,2610-03,172
MM,Set de Bases Alta Cobertura ULTRA HD Estuche Acrilico - 7 unidades x 7g. c/u,2700P-01,1985
MM,Base de Maquillaje Siliconado Blur Efecto Photoshop Botella con dosificadorx 30g. @Claro,2802P-01,965
MM,Base de Maquillaje Siliconado Blur Efecto Photoshop Botella con dosificadorx 30g. @Medio,2802P-02,965
MM,Base de Maquillaje Siliconado Blur Efecto Photoshop Botella con dosificadorx 30g. @Oscuro,2802P-03,965
